Date,Open,High,Low,Close,Volume
2020-06-11,61.21,61.74,59.82,59.82,4051340
2020-06-12,59.39,61.83,58.49,60.83,4573141
2020-06-15,59.39,61.01,58.93,60.85,3405684
2020-06-16,63.14,64.54,62.60,64.22,5808849
2020-06-17,64.47,64.56,63.47,64.37,3164721
2020-06-18,64.25,64.60,63.52,63.92,3697500
2020-06-19,64.46,64.93,63.87,64.74,8674443
2020-06-22,64.22,64.48,63.76,64.02,2551266
2020-06-23,65.09,68.66,64.85,67.70,7726067
2020-06-24,67.98,68.12,65.27,65.27,5399946
2020-06-25,65.92,67.59,62.71,63.35,8661660
2020-06-26,63.93,64.34,61.98,62.28,4892874
2020-06-29,61.82,62.67,61.27,62.39,3675296
2020-06-30,62.39,62.47,61.30,61.35,5019911
2020-07-01,62.36,62.39,60.78,61.45,2914658
2020-07-02,62.20,62.98,62.01,62.55,3217733
2020-07-03,62.73,62.82,61.92,62.18,1676179
2020-07-06,63.30,63.52,62.12,62.54,2358641
2020-07-07,61.42,61.48,58.09,59.45,6030072
2020-07-08,58.95,59.47,58.51,59.02,2978987
2020-07-09,59.05,60.06,58.28,59.07,2643108
2020-07-10,58.26,59.50,58.14,59.40,2296083
2020-07-13,60.14,60.39,59.76,60.15,2638430
2020-07-14,59.50,60.07,59.29,59.68,2296859
2020-07-15,60.06,60.33,59.48,59.70,3476271
2020-07-16,59.30,59.51,58.56,58.77,2913026
2020-07-17,58.78,59.07,58.69,58.75,2869662
2020-07-20,58.28,58.45,57.27,58.05,3660513
2020-07-21,59.22,59.29,58.00,58.23,3306184
2020-07-22,58.04,58.19,56.17,56.59,3615316
2020-07-23,57.01,57.70,56.86,57.49,2930224
2020-07-24,56.91,57.29,56.29,56.60,2414684
2020-07-27,56.06,56.08,55.19,55.25,3223031
2020-07-28,55.26,55.92,54.44,54.93,3317336
2020-07-29,54.99,55.42,54.47,54.54,2277007
2020-07-30,54.33,54.35,52.45,52.76,4048665
2020-07-31,52.64,53.61,52.30,52.45,3480881
2020-08-03,52.93,54.80,52.78,54.52,3471216
2020-08-04,54.62,54.68,52.36,53.20,4337153
2020-08-05,53.65,53.77,52.05,52.35,3541864
2020-08-06,52.23,53.30,52.04,52.16,3403786
2020-08-07,52.22,52.28,51.35,52.19,2758782
2020-08-10,52.55,52.96,52.05,52.76,1942067
2020-08-11,53.15,54.30,52.94,53.85,3014999
2020-08-12,53.92,54.26,53.36,54.03,2543424
2020-08-13,54.17,54.32,53.45,53.73,1645233
2020-08-14,53.44,53.65,52.74,53.12,2180232
2020-08-17,52.98,53.56,52.47,53.41,1597213
2020-08-18,53.27,53.72,52.70,53.22,2301633
2020-08-19,53.02,54.06,52.82,54.06,1460083
2020-08-20,53.48,53.59,52.84,52.84,1990171
2020-08-21,53.06,53.29,52.31,52.53,2768839
2020-08-24,53.07,54.54,53.07,54.07,2536362
2020-08-25,54.65,55.53,53.83,53.83,2290717
2020-08-26,53.70,54.09,53.47,53.66,1584737
2020-08-27,53.71,53.93,52.64,52.73,2446392
2020-08-28,52.41,52.60,50.82,51.32,5171502
2020-08-31,51.68,52.39,51.43,51.79,2904953
2020-09-01,52.22,53.15,51.58,51.75,3035464
2020-09-02,51.93,52.47,51.62,52.47,2716064
2020-09-03,52.69,53.36,51.48,51.49,3480881
2020-09-04,51.29,51.76,50.26,50.62,4180597
2020-09-07,51.01,51.79,50.52,51.76,1999385
2020-09-08,51.83,52.24,50.96,51.30,2784137
2020-09-09,51.33,52.02,51.08,51.85,2282853
2020-09-10,51.66,51.87,51.26,51.38,2741458
2020-09-11,51.49,52.79,50.94,51.65,3514200
2020-09-14,52.15,52.31,51.32,51.58,1978470
2020-09-15,51.95,53.52,51.88,52.99,3721045
2020-09-16,53.01,53.15,52.12,52.65,2739387
2020-09-17,52.22,53.01,51.82,52.89,2171082
2020-09-18,53.00,53.81,52.82,53.36,7344395
2020-09-21,53.09,53.14,50.18,50.23,5164649
2020-09-22,50.52,50.95,50.23,50.23,2737425
2020-09-23,50.59,51.85,50.59,51.25,2277298
2020-09-24,50.84,51.25,50.58,50.74,2030543
2020-09-25,50.97,51.07,49.47,49.86,3337730
2020-09-28,50.82,51.01,50.34,50.55,2816073
2020-09-29,50.35,50.52,49.66,49.90,2114410
2020-09-30,49.47,50.45,49.28,49.71,2502977
2020-10-01,44.67,45.25,43.21,43.21,20325159
2020-10-02,43.10,43.18,40.91,41.90,11571457
2020-10-05,42.62,43.71,41.95,43.61,5490290
2020-10-06,43.86,43.99,43.05,43.18,4102295
2020-10-07,43.05,43.41,41.93,42.24,4767291
2020-10-08,42.54,43.61,42.29,43.19,4722838
2020-10-09,43.12,43.90,43.07,43.58,3390510
2020-10-12,43.64,43.83,43.02,43.23,2646398
2020-10-13,42.76,42.81,41.73,41.73,4619885
2020-10-14,41.95,41.98,41.10,41.33,3750904
2020-10-15,41.08,41.20,40.27,41.13,5305915
2020-10-16,41.25,41.94,40.94,41.79,5245029
2020-10-19,41.87,42.12,41.18,41.34,2461100
2020-10-20,41.03,41.36,40.60,40.68,3116377
2020-10-21,40.57,40.64,39.60,39.63,5096131
2020-10-22,39.33,39.56,38.71,39.47,4219432
2020-10-23,39.36,40.00,39.14,39.56,3210078
2020-10-26,39.40,40.35,39.05,39.68,3902961
2020-10-27,40.03,40.04,38.88,39.08,3777683
2020-10-28,38.79,39.05,37.58,37.96,6156789
2020-10-29,38.05,38.49,37.60,38.03,5474328
2020-10-30,37.41,37.77,37.22,37.64,5580918
2020-11-02,38.11,39.09,37.62,38.98,4187513
2020-11-03,38.23,39.13,37.90,39.13,5227566
2020-11-04,38.57,41.08,38.29,40.80,6048478
2020-11-05,41.22,41.28,40.46,40.84,4014282
2020-11-06,40.76,40.99,39.65,39.86,4114915
2020-11-09,40.29,43.77,39.85,43.06,11428009
2020-11-10,43.35,44.75,42.64,44.38,7190260
2020-11-11,44.56,44.89,43.72,44.85,3977874
2020-11-12,44.44,44.88,43.88,44.27,3282854
2020-11-13,44.27,44.75,43.88,44.47,3404925
2020-11-16,45.06,45.86,44.43,44.56,4584874
2020-11-17,44.58,44.77,43.94,44.45,2549962
2020-11-18,44.39,44.42,43.65,44.27,2725938
2020-11-19,43.74,44.00,43.14,43.26,3537630
2020-11-20,43.18,44.68,43.16,44.66,4592054
2020-11-23,44.76,45.16,44.26,44.40,3079401
2020-11-24,44.50,45.77,44.50,45.40,3492135
2020-11-25,46.03,46.34,45.43,45.83,4262711
2020-11-26,46.13,46.18,45.69,45.89,1749584
2020-11-27,45.84,46.31,45.46,46.17,2979289
2020-11-30,46.07,46.12,45.01,45.01,5577556
2020-12-01,45.37,46.02,45.33,45.39,2841186
2020-12-02,45.39,45.39,44.17,44.60,3593602
2020-12-03,44.63,44.77,44.23,44.52,2305382
2020-12-04,44.61,45.08,44.50,44.56,3297169
2020-12-07,44.76,44.77,43.94,43.98,2993769
2020-12-08,43.83,44.02,43.34,44.01,3417669
2020-12-09,44.13,44.58,43.97,44.24,2787776
2020-12-10,44.30,44.47,43.82,44.22,2278877
2020-12-11,43.88,44.00,43.19,43.31,3359104
2020-12-14,43.55,44.09,43.45,43.98,2497671
2020-12-15,43.78,44.28,43.71,43.95,2352889
2020-12-16,44.08,46.21,43.97,45.97,4706107
2020-12-17,46.44,46.58,45.77,45.77,4225524
2020-12-18,45.79,46.76,45.61,45.74,8156089
2020-12-21,45.14,45.23,43.47,43.66,4789688
2020-12-22,43.97,45.20,43.90,44.99,2729823
2020-12-23,45.18,45.49,44.88,44.93,1719175
2020-12-28,45.79,46.03,45.25,45.30,1936549
2020-12-29,45.62,45.71,45.08,45.26,2217064
2020-12-30,45.41,45.47,44.91,44.91,1497735
2021-01-04,45.69,46.58,45.68,45.96,2919926
2021-01-05,45.88,46.80,45.75,46.14,3280433
2021-01-06,46.52,48.61,46.23,47.96,4992743
2021-01-07,49.49,49.69,48.55,48.79,6096518
2021-01-08,49.26,49.45,47.87,48.03,4615110
2021-01-11,47.95,47.96,47.40,47.55,3010116
2021-01-12,47.65,47.75,46.94,46.94,3536006
2021-01-13,46.91,49.13,46.91,49.05,4067829
2021-01-14,49.21,49.49,48.86,49.13,3318258
2021-01-15,48.88,49.57,48.37,48.72,4524359
2021-01-18,48.42,49.12,48.03,49.08,2167814
2021-01-19,49.61,50.10,49.34,49.43,3207911
2021-01-20,49.47,50.13,49.30,50.08,2857446
2021-01-21,50.36,51.10,49.27,49.27,3713528
2021-01-22,49.07,49.28,48.47,48.83,2981511
2021-01-25,49.27,49.33,47.31,48.02,3455580
2021-01-26,47.75,48.77,47.75,48.32,2610763
2021-01-27,48.18,48.31,46.35,46.71,4719756
2021-01-28,46.26,47.84,46.21,47.51,3877747
2021-01-29,46.72,47.48,46.26,46.55,4191653
2021-02-01,46.98,47.57,46.53,47.09,2646334
2021-02-02,47.47,48.31,47.32,47.80,3031769
2021-02-03,48.24,48.43,47.80,48.04,2397436
2021-02-04,50.59,50.88,49.83,50.60,7155200
