Date,Open,High,Low,Close,Volume
2021-06-03,294.07,294.07,289.34,292.74,65411
2021-06-04,293.12,295.01,291.42,292.18,42158
2021-06-07,291.23,296.90,289.53,296.53,74185
2021-06-08,295.58,296.72,284.42,285.18,112599
2021-06-09,284.80,289.72,279.32,284.99,64934
2021-06-10,284.23,285.75,277.80,277.99,78896
2021-06-11,279.32,283.10,277.24,281.78,45855
2021-06-14,283.10,284.61,279.51,280.64,52079
2021-06-15,282.15,282.15,278.18,279.32,43197
2021-06-16,279.32,280.83,268.92,273.83,82431
2021-06-17,271.75,280.45,271.19,277.43,43357
2021-06-18,277.62,277.62,269.29,269.48,98396
2021-06-21,270.05,278.18,268.16,277.80,62840
2021-06-22,278.75,278.75,271.19,271.94,55944
2021-06-23,271.94,273.83,268.16,268.54,42520
2021-06-24,270.81,272.51,268.54,269.29,66447
2021-06-25,269.11,270.05,266.65,266.65,57316
2021-06-28,267.97,268.73,260.41,260.97,82515
2021-06-29,261.35,270.62,260.60,267.97,62746
2021-06-30,266.46,267.40,256.25,261.73,88116
2021-07-01,262.86,266.46,261.54,263.81,48761
2021-07-02,266.65,266.65,263.81,264.95,32194
2021-07-05,265.51,266.65,261.73,264.95,38535
2021-07-06,266.08,266.27,256.44,257.57,62380
2021-07-07,261.73,265.13,257.76,260.97,79428
2021-07-08,261.54,261.54,247.36,250.95,131428
2021-07-09,254.17,266.84,253.03,265.89,84105
2021-07-12,266.84,274.02,264.76,273.08,67532
2021-07-13,274.21,275.72,269.48,270.05,77166
2021-07-14,270.43,275.35,268.73,273.08,53131
2021-07-15,273.27,273.27,266.84,268.35,59229
2021-07-16,270.05,272.51,264.38,264.76,53361
2021-07-19,261.54,262.30,252.46,255.87,62305
2021-07-20,257.95,261.16,254.73,258.33,43872
2021-07-21,261.35,271.94,259.08,269.48,53294
2021-07-22,272.32,272.51,264.19,264.38,35045
2021-07-23,267.26,272.46,265.72,268.61,50729
2021-07-26,266.69,267.26,262.07,266.88,33499
2021-07-27,267.65,271.69,263.80,268.03,53309
2021-07-28,269.00,269.77,264.19,267.65,42892
2021-07-29,270.73,275.35,262.65,272.27,51059
2021-07-30,271.69,272.65,267.07,269.38,46167
2021-08-02,274.19,276.50,271.50,272.27,29824
2021-08-03,273.23,276.12,269.57,275.35,43031
2021-08-04,278.04,283.23,276.88,279.19,54911
2021-08-05,277.08,278.81,271.50,278.81,37167
2021-08-06,279.00,290.35,278.04,286.70,66943
2021-08-09,284.97,285.93,280.54,284.58,40375
2021-08-10,281.89,286.70,280.93,286.31,49705
2021-08-11,286.51,288.04,283.43,288.04,48736
2021-08-12,288.62,301.13,287.28,301.13,100823
2021-08-13,299.97,300.94,295.55,297.47,48556
2021-08-16,294.20,294.39,286.51,288.04,35717
2021-08-17,288.04,288.43,278.62,279.96,50547
2021-08-18,279.96,283.04,276.12,281.89,45785
2021-08-19,277.08,280.16,270.34,270.54,59093
2021-08-20,269.38,270.73,267.26,269.19,58546
2021-08-23,272.27,272.46,267.46,268.03,40443
2021-08-24,269.77,273.61,269.00,271.88,35475
2021-08-25,271.88,271.88,271.88,271.88,0
2021-08-26,272.27,273.61,270.15,271.69,21131
